Index,Yorum,Duygu
6635,ürün 16 gb olsada 15 gb civarında bir kapasitesi var. bu insanın her zaman ihtiyaç duyacağı hemen hemen her belge ve programı kaldırabilecek bir kapasite demek. fakat kapağının olmaması bir dezavantaj. cebinde içine toz topak girebilir. kapağı olsaydı dahada güzel olurdu. boyutuda çok küçük. fiyatıda çok makul. tavsiye ederim.,1
6636,"teşekkürler hepsiburada, ürün mükemmel çok beğendim.",1
6637,Ürün güzel biraz arastirdim en uygun fiyat burada idi. Çok memnunum herkese Ssd tavsiye ederim laptopum en az iki kat hızlandi diyebilirim,1
6638,ben yaklaşık 5 aydır kullanıyorum gerçekten süper çalışıyor. gereksiz ışıklar yok. usb yi taktım 5 ay önce hiç çıkarmadım çok küçük zaten. kesinlikle tavsiye ediyorum,1
6639,"Telefonunu çantaya atıp ""duymadım hayatım"" yada ""aaa sessizdeydi farketmedim"" gibi bahanelerden kurtulun. Çağrı, Alarm ve Bildirimlerde titreşimle uyarı veriyor. Adım sayar, kalori hesaplama, kaç km yaptın ve nabız ölçer sağlıklı çalışıyor gibi. Pil süreside rakiplerine göre gayet başarılı. Fiyat performansı olarak iyi bir ürün. Tek kusur sadece siyah olarak satılması",1
6640,Süper ??,1
6641,Fiyatı ve ele oturması çok iyi,1
6642,ürünü alalı yaklaşık bir ay oldu.beğenerek kullanıyorum.tek sıkıntı menüler arasında hızlı geçişler sırasında zaman zaman donmalar olması.umarım kalıcı bir sıkıntı oluşturmaz,1
6643,cok hizli geldi ve kurulumu cok kolaydi,1
6644,Ürün orijinal ve çok hızlı elime ulaştı. Teşekkür ederim,1
6645,"5 ay önce arkadaşıma aldık. Telefonu beğendim. Dokunmatik hassasiyeti mükemmel. Ses kalitesine diyecek hiç bir şey yok. Laptop kalitesinde müzik dinliyorsunuz. Kamerası gayet iyi. Sonuçta 3,2 nokia kamerası. Hakkını veriyor. Tek kusuru boyutları keşke daha küçük ve ince olsaymış. Dokunmatik düşünenlere tavsiye ederim",1
6646,çok güzel. ihtiyaçlarımı karşiladi. ev icin uygun bir secenek.,1
6647,"mükemmel bi çekim gücü var,ilk piliyle bakalım nekadar gidicek,biterse duracell almayı düşünüyorum,o iyi gidiyomuş,,taktığım gibi çalıştı,çok şık ve zasrif bi ürün tavsiye ederim,,fiyatıda diğerlerine göre gayet ucuz..",1
6648,"Örgülü kablosu, 4 farklı DPI seçeneği, boyutu ve tasarımı çok güzel. Yalnızca sağ elle kullanılabilir. Ürünün tek eksisi serçe parmak ve yanındaki parmağın oturduğu kısım biraz sivri yapılmış, düz veya daha oval yapılsa ele daha rahat oturabilirdi.",1
6649,Kargom epey geç elime ulaştı ama ürün başarılı.,1
6650,"İkinci akıllı telefonum ilk telefonum sony z1 compact 4 yıl kullandım.Note fe almamım nedeni çok hoşuma gitti artılarını herkes bilir ama eksilerini söyleyeyim ön kamera tatmin edici degil kesinlikle arka kamera güzel ama ön tarafta samsung yazısı var sitedeki resimlerde yok ayrıca dönüştürücü ile geldi keşke orjinal hızlı şarj olsaydı, kılıf güzel ama always on display de standart saati gösteriyor kılıfsız kullanacaksanız guzel saatler ve ayarlar var ve son olarak satıcı hepsiburada dan aldım ve delta garantili geldi bu şirketten memnunum açıkcası eski telefonum da delta garantili idi.",1
6651,ihtiyacı olan için süper bir ürün,1
6652,Çok iyi teşekkürler hepsiburada.com,1
6653,Arkadaşlar yeni almış olduğum bilgisayara taktım eski açılış hızını bilmiyorum ama şimdi abartısız 7 sn de pc açılıyor. hatta acaba uyku modundanmı kaynaklı dedim ama yok normal açılışı bu....,1
6654,kullanımında herhangi bir sorun yok. fiyatıda cabası.alın gitsin..,1
6655,çok ufak ama ama çok hızlı işe yarar...,1
6656,Tek kelimeyle mükemmel.,1
6657,Toyota Corolla nın konsoluna göre pek değil bilginize.. Ama tutuşu gayet iyi..,1
6658,"2 gündür kullanıyorum bir problem çıkarmadı, 15m mesafe, 3 oda sonra 1 diş düştü menzili buda gayet normal.",1
6659,Ürün çok estetik küçük ve hızlı. Diğer hariciler gibi kalas değil. Almanızı şiddetle tavsiye ederim,1
6660,"Teknolojik yorum trafiğine hiç gerek yok, Cihaz kesinlikle başarılı ve boyut olarakta makul.. Tavsiyem kılıfsız kullanmayın. Teşekkürler HEPSİBURADA.",1
6661,almadan önce gerçekten çok araştırdım ve bu çantayı gördüğümde işte bu dedim.Son derece kullanışlı ve estetik bir görüntüye sahip.fazlasıylada koruyucu bence.Aldıktan birkaç gün sonra sağnak yağmurun altında çanta ve laptopla kalıverdim.eyvah laptop gitti diye düşündüm ilk önce fakat eve gidip çantayı açtığımda iyiki bu çantayı almışım dedim.bir damla bile geçirmemiş.kesinlikle tavsiye ederim...,1
6662,"Ekranın özellikle (dik tutarken) alt ve üst kısımları yeterince hassas değil yani diğer kısımlara göre tırnakla kullanım açısından biraz sorunlu gibi. Telefonu çözdükçe güzelleşiyor kurcalaması zevkli.Fotoğraf konusunda biraz kafası güzel gündüz fotoları güzel çekiyor ama ışığın azaldığı ortamlarda ciddi kötü fotoğraflar sunabiliyor size oyun oynaması biraz zor ama zevkli.wireless konusunda gayet normal bi şekilde çalışıyo 10 gündür ağır mesai kurcalıyorum ilk aldığım gün iki kez ekranın renkler birbirine girdi ve reset attı kendine muhtelemen yazılımsal bi sorundu, mesajda TR karakter kullanınca donma oluyordu; versiyonunu yükselttim ve bunlar düzeldi. telefon hızlı ve kullanışlıda baya ekran kalitesi gayet güzel.video kalitesi görüntü kalitesinden daha iyi :) garip ama kıyaslarsanız böyle. ses kalitesi hakkında yorum yapmıycam gerek duyulmuycak cinsten ama işin aslı bir nokia 3250 xm ve 5700 xm kullanmış biri olarak daha fazlasını ümid etmiştim ama abartmışım =) genel olarak 7.5/10. Gpsi yeterli ama gps programı bilmiyorum öyle işte :)",1
6663,Boyum yaklaşık 1.85 pantolonumun cebindeki telefonumda kullanınca kablo çok gergin oluyor bi 10 cm daha uzun olabilirmis. Onun dışında bu fiyata göre kalitesi çok iyi.,1
6664,Ürün tahmin ettiğim süre içerisinde elime ulaştı. Şu an kullanıyorum memnunum. Fiyat performans açısından piyasanın tartışmasız en iyisi.,1
6665,Sesi yeterince yüksek.bazı seslerden pekte başarılı değil.ama bu paraya alınabilecek eniyi ses.tablette ve pc de rahatlıkla kullanılabilir,1
6666,"Güzel, zamanında teslim edildi",1
6667,kaliteli minnak bişi,1
6668,super,1
6669,elime ulaştı üzerine düşen görevi yerine getiriyor ve bence en güzel yönü çok ama çok şık bir ürün.taktım anahtarlığıma gezdiriyorum.metal oluşuda bir harika.,1
6670,Bence makro kullananlar için çok ideal bir mouse kullanışlı ben almayı düşünüyorum,1
6671,"İyi bir yazıcı, amatör için çok bile",1
6672,"Hem telefon hemde bilgisayarda çok kullanışlı ve fiyatı gerçekten uygun kargo ücretsiz, hemde çok hızlı.",1
6673,aldığıma memnun oldum.,1
6674,ürün sipariş verdikten 2 saat sonra kargoya verildi. fiyat avantajıyla verilen hizmetten çok memnun kaldım.,1
6675,Bu fiyata bu yazıcı gayet güzel ve kullanışlı. renkli ve siyah beyaz kartuşuyla geliyor. Bilgisayara bağlama kablosu yok içinde,1
6676,fiyat/performans açısından iyi bir ürün,1
6677,Bir aydır kullanıyorum çekimi çok güzel hiç kopma olmadı.,1
6678,"çok ucuzz, çok kaliteli öğrenciler için mükemmel",1
6679,"Bugüne kadar kullandığım mauslarda yaşadığım sıkıntılardan sonra incelediğim ürünler içinde kalite ve fiyat avantajınıda dikkate alarak bu ürünü seçtim, yanılmammışım herkese tavsiye ederim.",1
6680,tek kelime ile harika tam 3 tane sipariş verdim olurda birine bişey olursa diye. 1 sene kullandım cam dahil heryerde sorunsuz algılama var titreme yok ayrıca pili uzun süreli ele tam oturuyo ne büyük ne küçük,1
6681,"Ürün kaliteli malzemeden üretilmiş.Şarj etme performansıda gayet iyi.Ben şimdiye kadar tamamen boş bir ipad mini şarj ettim,yaklaşık 1 saatte full şarj etti ve yarım kapasitesi hala duruyordu.Bu performans bence yeterli.Fakat kendisinin şarjı yavaş doluyor. Genel olarak fiyat-performans dengesi iyi.",1
6682,NTFS formatında 84 MB yazma hızını gördüm bence mükemmel.,1
6683,"ürünün fiyat çok uygun oldugundan 6 adet aldım ve ürünü kullandın alıcı çok iyi herkes rahatlıkla önere bilirim, ürün alıcısı için mausenin içine yer olması alıcın kayıp olma durumunuda ortadan kaldırmak",1
6684,"her zamanki gibi süratli kargo, mükemmel ürün..teşekkürler hepsiburada.com",1
6685,Kargo çok hızlı geldi. Paketleme muazzamdı. Hem siyah hem beyaz aldım. Fiyatına göre muhteşem ve kullanışlı. Rahatlıkla alabilirsiniz.,1
6686,"BU FİYATA BU MARKA,HEMDE KARGO BEDAVA.ÇOK KULLANIŞLI,TAVSİYE EDİLİR.TEŞEKKÜRLER.",1
6687,hiç düşünme al çok kullanışlı,1
6688,Ben 2 yıl önce aldım. Önce sokağın karşısındaki apartmandan wifi için kullandım. Şimdi de evimde ki internet için kullanıyorum. Bir sorunla karşılaşmadım. Alacak arkadaşlara tavsiye ederim.,1
6689,internette arastırdıgım ürünler arasından en mantıklısı bu geldi.fiyatı cok uygun herkese tavsiye ederim cok begendim.eger bir mause ihtiyacınız varsa düşünmeyin alın derim.,1
6690,"Teslim zamanı çok iyiydi. Ürünü de çok beğendim, çok zarif ve cok ufak. Kesinlikle tekrar ürün tercih edeceğim bir site. Herkese tavsiye ederim.",1
6691,Bence gayet iyi kullanışlı ucuz ve uygun bir gaming mause,1
6692,aldım kullanıyorum ve memnunum.. benzer fiyattaki ürünlerle kıyaslandığında çok daha işlevsel olduğunu düşünüyorum. music phone olması sebebiyle i-podumu bile sadece uçakta kullanmaya başladım. tavsiye ederim.,1
6693,Fiyatı makul. Performansı tatmin edici,1
6694,"gayet güzel, kartuş ne kadar gider bilmiyorum ama, baskı kalitesi iyi, alacak arkadaşlara tavsiye ederim, pişman olmazsınız,kartuj da çok ucuz bide.",1
6695,Ürün elime biraz geç ulaştı onun dışında firmayla bi sıkıntım yok. Arka kapağın cam olması havalı gösteriyor telefonu. İşlemcisi hızlı. Şarjı baya gidiyor. p9 lite versiyonu marshmallow olduğu için bunu tercih ettim.,1
6696,"Sağlamlığı ve anahtarlıkta pratik kullanımı için aldım. Hatta arkadaşlarla birlikte 5 adet aldık. USB 2.0 olması hız bekleyenleri üzebilir ama, pratik kullanım için biçilmiş kaftan. Sağlamlık ve az yer kaplama/pratik kullanım isteyenlere tavsiye edilir.",1
6697,Modem dün geldi neredeyse siparişimden 12 saat sonra elime ulaştı. Kurulumu çok kolay harika bir ürün çekimi harika şimdiye kadar kopma olmadı. Şiddetle tavsiye ederim...,1
6698,oğlum çok beğendi.,1
6699,Sandisk kalitesi. Çok iyi,1
6700,"Gayet kullanışlı ve başarılı bir ürün yazma ve okuma hızı bana göre tatmin edici.Eksi yanın plastiği biraz daha kaliteli olabilirdi,plastiğinden kaçıp ta karmı ettiler onuda merak ettim açıkçası.Ayrıca ilk defa internette alışveriş yapmamda kargom bukadar hızlı geldi hala onun şokun dayım :) Teşekkürler HEPSİBURADA",1
6701,"Mükemmel cihaz,24 saatte bana ulaştı.Teşekkürler.",1
6702,"Fiyatı ve performansı çok iyi, rahatsız edici tık sesi olmadığından benim gibi sese duyarlı insanlar için şahane, ayrıca iyi bir tasarım düşünülmüş. Ben memnun kaldım, siparişin kısa sürede teslim edilmesi ayrıca süper, çok teşekkürler.",1
6703,evet gayet kullanışlı ve şık ürünün kapağı felan yok tak çıkart dış kasa metal anahtarlıkta rahatlıkla taşınır kırılma olayı yok kibar,1
6704,çok kullanıslı.sipariş hızlı.ses kalitesi yüksek aynı tel kulaklığı gibi.sadece kulak içi mikrofon ergonomisi daha küçük olsaydı.,1
6705,"şarjı iyi gidiyor gerçekten. saat tarih, adım sayar, mesafe, şarj göstergesi açık, alarm açık yaklaşık 2 ay. Kilit sistemi güzel bileğe iyi oturuyor. Çok kolay alışıyorsunuz. İhtiyacınızı karşılayacaktır.",1
6706,"Kartuş alacağım fiyata yazıcı aldım. Küçük, kullanışlı, az yer kaplıyor. Ayrıca hızlı gönderi...",1
6707,süper kullanışlı ve geniş bi çanta.göründüğünden daha yakışıklı tavsiye ediyorum :) on kısmında bulunan gözüde çok geniş.kaliteli bi ürün .,1
6708,"Video izleyemeyen arkadaşlar telefonlarına Skyfire internet tarayıcısı kursunlar. Arkadaşta denedik, Facebookdaki pokere bile girdi.. Telefon özelliklerine göre fiyatı çok iyi.. Zaten daha da düşecek gibi fiyat..",1
6709,Yorum yapmaya pek gerek ypk. Sonuçda TOSHİBA teşekkürler hepsiburada.com,1
6710,Gerçekten kendi düşük masaüstü sistemimde 4 katı performans alıyorum. 7200rpm hdd ile 1dakika 10 saniyede açılan bilgisayar 20 saniyede açılıyor. Ve performans olarak çok etkiledi. Sistemim düşük oldugundan ssdyi tam performans kullanamadıgım halde..,1
6711,Telefon gerçekten güzel incelik pil performansı 10 numara,1
6712,kızıma almıştım çok sevindi teşekkürler,1
6713,ürünün bir çok özelliği var dokunmatik ekran oluşu ve bukadar uygun oluşu çok iyi özellikle oyunlarına bayılacaksınız diğer telefonlara göre daha ince n80 kullandım bir zamanlar kalın ve ağırdı n80 e küçük demişlerdi ikisini kıyaslayınca çok zarif ve kullanışlı nokia dan şaşmayın derim ben,1
6714,EVET ARAKADASLAR HEPSİ BURADA NIN SATMIS OLDUGU URUNLERIN ZATEN BIR COGU HEM UCUZ VE HEM KALITELI OLMASININDA UZERINI CIZMEK ISTERIM.BENCE DUSUNULMEDEN ALINABILECEK BIR URUN,1
6715,ciktiya para verecegime yazıcı alırım daha iyi son derece işimi gördü kırtasiyeciye soyulmadim ciktimi aldım üstüne yazıcı aldım,1
6716,hızlı ve ucuz,1
6717,"Hızlı kargo, uygun fiyat....Teşekkürler Hepsiburada....",1
6718,ev kullanicilari icin ihtiyaclari fazlasiyla goren harika bir urun. kesinlikle pisman olmazsiniz,1
6719,zaten bir tane varimdi. memnunum,1
6720,"Sorunsuz teslim aldım, üründen de memnunum, teşekkürler.",1
6721,Daha önce arkadaşıma aldığımı 8961ND den farkı bunun antenleri sabit değişmiyor birde antivirüs hediyesi de yok. Ancak bu modelda sabit 5 dBi anten var. ND olan da ise 3 dBi. Anten değiştirmeyeceğim için bunu tercih ettim. Antivirüs ile işiniz yoksa ve sonradan yüksek dBi anten takmayacak iseniz tavsiye ederim. Sorunsuz ve hızlı teslim aldım teşekkürler,1
6722,ayni gun saat 19.55de siparis elime ulasti.kesinlikle bu kadar yorumu hak ediyo (fiyati dahilinde)ortalama bi urun.pisman olmazsiniz.tavsiye ediyrm.,1
6723,ürünü perşembe akşam sipariş ettim cuma kargoya verildi cumartesi elimde oldu.Hızlı kargo güzel ürün yardım hattıda hemen soruya geri dönüş yapıyor teşekkürler.,1
6724,Ürün elime 2 günde ulaştı.Kargo pakedinde ezilme yoktu.Üründede hiçbir şery yoktu.Ben3 dpi seçeneği var sanıyordum fakat 4müş.Videolardan izlediğimde 3tü ama önemli değil.Ele tam oturması harika birşey.Şöyle söyliyim.Eğer durumunuz fazla iyi değilse bu mouse tam size göre.Gerçekten güzel bir mouse.Bu fiyata alabileceğiniz en iyi mouse bu bence.,1
6725,Ürün bugün elime geçti gayet kullanışlı.,1
6726,kullanışlı bir ürün. Psikolojik olarak hareket etmek zorunda hissediyorsun. Ayrıca uyku düzeni ile ilgili analizleri çok başarılı,1
6727,"çok teşekkürler .hesaplı,kaliteli ve hızlı kargo.",1
6728,hp den beklediğim gibi güzel ve kullanışlı yer açısından birazdaha ufak olsaydı güzel olurdu,1
6729,ürün çok güzel ve kullanışlı bu arada hepsiburada kalitesinide unutmamak lazım ilginize hızlılığınıza ve kalitenize tşk ederim,1
6730,"Merhabalar arkadaşlar , ben ürün aldım salı günü sipariş verdim perşembe günü yani bugün aldım toplamda 2 gün sürdü kargo için yorumum bukadar, ürüne gelirsek ürünün tasarımı cidden çok güzel her ele çok rahat oturuyor , tıklarken ses neredeyse yok gibi baya az ses çıkartıyor , çok hassas bir mouse her yerde elimde dizimde koltukta sorunsuz çalışıyor ve uzaktanda denedim yine sorunsuz çalışıyor benim diyeceklerim bukadar herkese teşekkürler :)",1
6731,"Piyasada aynı fiyata başka ürünleri denemedim ama tplink fiyata göre performansı iyi.Bu ürüne gelince lojmanda kendi ağımızı kurduk,3 arkadaşa aldık.Kurulumu biraz çetrefilli ama -111 dbm değerde 2 tırnak çektiğini görünce tamam dedim.Anten daha güçlü takınca belki değer değişir ama bu haliyle de bence fiyata göre çok iyi.Çok ileri beklentisi olmayana kesinlikle tavsiye ederim.",1
6732,"Çok güzel, hızlı kargo, tavsiye edilir. Teşekkürler",1
6733,"extra indirime girdiğinde çok iyi fiyata aldım ,daha önce de alıp ,hala kullandığım bir ürün ,kargo kusursuz ve hızlıydı ,teşekkürler HB",1
6734,kurulumu kolay ve cihaz çok güzel,1
6735,SÜPER KALİTELİ,1
6736,ürün fiyatına göre oldukça iyi ve kaliteli hepsi burada ya hizmeti güvenliği ve hızlı gönderim için ayrıca teşekkürler,1
6737,Guzel,1
6738,"Bu kulaklıktan daha iyisini bulamadım, ancak tutaç kısmı mutlaka bir yıl içinde kırılıyor, böyle bir eksiği olsa da benim vazgeçilmezim, ayrıca kablolu olduğu için de sağlıklı.",1
6739,hepsiburada ve Samsung ailesine teşekkürler. urun saniye de 34 MB okuma 22 MB yazma hızına sahip test cihazı huawei ascend mate 7,1
6740,TEŞEKKÜRLER H.B.COM FİATLAR UYGUNDU TAK KULLAN PROBLEM YOK,1
6741,ürün başarılı ve sağlıklı fiyatına gore ürünün kalitesi ve çoktı sayısı çok memnun edici tavsiye ederim,1
6742,çok iyi ürün. hızlı gönderi,1
6743,Ürün güzel ve hızlı .fakat bazen cihazı takmakta zorlanıyorsun. Flasın u.ç kısımları içeri kaçmakta.puanı ordan kırdım.,1
6744,16 gb bu fiyatı bulmak mümkün deyil.hem küçük ve yer kaplamıyor.alacak arkadaşlar teredüt etmesin.Kargoda Bir Buçuk günde elime geçti.Siteye Teşekkür Ederim,1
6745,Fiyatına göre çok iyi ürün yaklaşık 10 gündür kullanıyorum bir sorun yok ele güzel oturuyor sadece çift tıklama tuşu biraz uzakta kalıyor,1
6746,Çoğunlukla tercihimi f/p ürünlerinden yana yapıyorum. Lg g3 ü genel kullanım halinde iki defa full bir kerede %25 e kadar doldurdu. Kullanım esnasındaki güç kaybı ayrıyetten cihazın güç aktarımından kaynaklanan güç kaybı ve g3 cihazının bataryasındaki kaybıda hesaba katmak lazım (üzerindeki batarya orjinal ve yaklaşık 8 9 aylık) performans açısından tatminkar. İndirim ile beraber muadili asus yerine tercih ettim.,1
6747,Ürün gayet iyi ve hızlı teslimat hızlı ancak anladığım ürünü 3 gün önce 220 liraya aldım şimdi 236 lira. Usb kablosu ile geldi,1
6748,"Oldukça ucuz, indirimde fiyatlar değişiyor tabi ama 79 Tl ye aldım. Daha ne olsun :) yazıcı basit kolay, haftalık staj raporları için, öğrenciler ve standart ev kullanıcısı için çok çok iyi. İhtiyaca göre.. alın",1
6749,"Evde ve okulda kullanıyorum, hassasiyeti ve her zeminde hatta zemin olmadan çalışması mükemmel kesinlikle tavsiye ederim.Kaliteli bir ürün.",1
6750,Çok kullanışlı vede güvenilir Bu kapasite ve bu fiyat kesinlikle kaçırılmaqz bir fırsat .ama eksik yönleri kapağının olmaması ve kapak kısmı çok hassas çabuk kırılıyor.,1
6751,Kırtasiyenin çıktı için istediği fiyata yazıcıyı aldım. Çok kullanışlı küçük yer kaplamayan bir yazıcı.,1
6752,Hızlı kargo kolay kurulum elveda hücresel ????,1
6753,Fiyatına göre performansı çok iyi silah oyunlarında titreme falan olmuyor sadece biraz kaba normal mouse kullanıyorsanız farkı hemen anlarsınız.,1
6754,Uzun yıllardır böyle bir telefonum olsun istemiştim. İstediğim bir çok özelliği içerisinde barındırıyor. Gerçekten çok kullanışlı sade ve isteklerinizin tam karşılığı olarak bir tfoelen. Hemde Nokia güvencesiye...,1
6755,"Ürünü 1 aydır kullanıyorum. Ürünün kendi uygulaması güzel fakat ben 10 TL ye mi band tools uygulamasını da aldım. + kolumu kaldırdığım anda saati/tarihi/günü görebiliyorum. + nabzımı doğru ölçüyor. + uzun süre hareketsiz kaldığımda kalkıp adım atmam için titreyerek ve çöp adam resmi ile :) uyarıyor masa başında çalışan benim gibi insanlar için yararlı olduğunu düşünüyorum. + telefon çaldığında kimin aradığını/arayan numarayı görüyorum. + mesajlarımı/whatsup mesajlarını kayan yazı şeklinde okuyabiliyorum. + kalan pili saatin üzerinden takip edebiliyorum. + alarm uyandırmak için yeterli titreşimi sağlıyor. + uyku düzeni ile uykumu takip ediyorum. uyku saati/hafif uyku/derin uyku bilgilerinin doğru olduğunu düşünüyorum. uykumu aldığım zaman derin uyku saatinin 2 saat olduğunu, alamadığım zaman ise bunun altında olduğunu gördüm. +/- spor aktiviteleri için de birçok alternatif var. özellikle koşu hızının düştüğünde uyarması, nabız arttığında uyarması gibi... fakat bu özellikleri kullanmadığım için yorum yapamıyorum. - adımları tam olarak doğru saymıyor fakat genel anlamıyla yakın. hesapladığı km den buna göre biraz düşüyorum. - telefon mesaj/çağrılarını almak için sürekli bluetooth u açık tutmam gerekiyor ki bu da telefonu günde 2 kez şarj etme gerekliliği oluşturdu. bu özelliğe ihtiyacı olmayan bluetooth u açtığı anda da uygulama ile senkronizsyonu yapabilir. - telefon a sürekli bağlı olduğu için 7 günde şarjım bitiyor. ------ 1 ürünü doğum gününde hediye etmek için aynı gün kargo ile ek ücret ödeyerek aldım. Aynı gün 1 ürünü daha daha sonra hediye etmek için normal kargo ile aldım. aynı gün teslimat olan ürün hb nin depo çıkışını unutması ve sorumsuz kurye anlayışı nedeniyle 6 gün sonra, normal aldığım ürün 3. gün geldi. Ürünü almak isteyenlere KESİNLİKLE öneriyorum, düşünmeden alın. fakat hızlı kargo düşünene, hediye olarak acil alması gerekene ASLA önermiyorum. strese girer ve rezil olursunuz.",1
6756,"telefon güze,l hızlı. hepsiburada tarafından 1 günde teslim edildi ancak kutudan kulaklık çıkmadı. bu konuyu hepsiburadaya yazdığımda bana cevaben buraya dikkat lütfen! 'kutu içerisinden hepsiburada olarak sorumlu olmadıklarını 'söylediler. Bende iyi kutunun içersin den telefon çıktı. ya çıkmasaydı ne yapardım deyip sustum...",1
6757,"Kibar, sessiz, hızlı. Tavsiye ediyorum.",1
6758,Tavsiye ederim kurulumuda çok kolay....,1
6759,Aracım için aldım küçük olduğu için tercih ettim taktığımda farkedilmiyor diyebilirim tereddüt etmeden alabilirsiniz..,1
6760,"Fiyatı ve buna karşılık sunduğu özellikler açısından en iyi telefonlardan. Ben siyah aldım. Maillerinize anlık ulaşabiliyor (ki ben şirket mailim dahil,gmail,hotmail vs.. ile birlikte kullaanıyorum.),navigasyon programı yükleyerek artı navigasyon cihazı almaktan kurtulabiliyorsunuz. Tek problem maillerinizde dosyaları açabilmeniz için quick office almanız gerekli.",1
6761,FİYAT-FAYDA ORANINA GÖRE İYİ BİR ÜRÜN.,1
6762,Ben telefonu 3 gün önce aldım...Telefonda gerçekten de yok yok..daha tam çözemedim bi de dokunmatik olmasına alışamadım ama harika bi telefon...Özellikle Wi-Fi çok güzel..Kamerası da gayet iyi...Herkese tavsiye ederim,1
6763,"Güzel ürün, J7 prime yaklaşık 2 defa şarj ediyor. Ürünün kendisi biraz geç şarj oluyor. Fiyaına göre bence başarılı. Ömrü ne kadar olacak göreceğiz.",1
6764,"Cesur Bilişimden Hepsiburada.com üzerinden satın aldım. Zaten senelerdir kullandığım ve kalitesini bildiğim bir üründü. Siparişi vereli 24 saat olmadan ürün kapımdaydı. Ücretsiz kargo, kaliteli paketleme ve hızlı teslimat için teşekkürler.",1
6765,Araç kamerasında kullanıyorum sıkıntı çıkarmadı gayet başarılı .,1
6766,"Ürün kaliteli. Telefon şarj hızı iyi, yalnız kendi şarj olurken biraz yavaş doluyor. İhtiyacınızı karşılar.",1
6767,Aldığım mouse tan çok memnunum arkadaşımın benden sonra aldığı başka bir marka mouse un pili biterken benim hala bir sorun yok alacak arkadaşlar düşünmeden alabilir.,1
6768,"Merhabalar, Ürün çok güzel. Kurulum gayet kolay. Var olan Wifi ağınız ile aynı adı alıyor ve şifrede aynı oluyor. Sadece beni şaşırtan hepsi burada nın teslimat süresi oldu. Normal de bir gün sonra teslim yazan ürünler gerçekten de bir gün sonra teslim olur. Ancak bu ürün 1 gün sonra teslim demesine rağmen 3 gün sonra teslim oldu.",1
6769,"Çok iyi bir ürün oldukça hafif ve kullanışlı bir ürün, kutu içerisinden pil ile birlikte çıktı. Daha önceki mousede Logitech markaydı bunun debisi çok daha yüksek",1
6770,"Daha önce Hepsiburadadan başka bir çanta aldım,boyutlar yüzünden iade edip,bu çantayı sipariş ettim.Sağolsun Hepsiburada da sorun çıkarmadı,şu anda gayet memnunum.Kaliteli olduğunu kullanırken anlayacaksınız zaten.Özellikle ön bölmesindeki yeterli cepler,tamamıyla açılan fermuar ve içindeki sabitleyici askı sizi memnun edecek.Düşünmeden alın.",1
6771,"USB 2.0 Okuyucu kullanımda yaklaşık 11,88 MB/s yazma 20,35 MB/s ortalama okuma değerleri görülüyor. USB 3.0 da dahada iyi sonuçlar elde edilebilir. Sonuç olarak iyi",1
6772,"Ürün barkodunu okuttum orjinaldi. Full doluyken her seferinde LgG3'ü 3,5 kez Samsung S4ü 4 kez iPhone 6s'i 3kezden birazcık fazla şarj etti. şarj etme hızı bataryanızın ve telefonunuzun durumuna göre değişiyor. aynı telefon ve farklı bataryalarla çok farklı sonuçlar almak mümkün. aynı zamanda bu ürünü sarj edeceğiniz şarj cihazınızın kalitesi de 4 level yani full şarj olana kadarki geçen süreyi ziyadesiyle etkiliyor. kısacası kullanmaya ve verdiğiniz paraya değebilecek bir ürün tavsiye edilir.",1
6773,Logitech kalitesini her zaman uygun fiyata almamı sağlayan Hepsiburadaya bir kez daha teşekkürler. Bu fiyata 2 yıl garantili başka bir mouse bulamazsınız kaçırmayın:),1
6774,Bazı sd kartları formatlamadan çalışmıyor. Fakat bu ürün direkt olarak çalıştı. Teşekkürler.,1
6775,Çok iyi,1
6776,Sinyal tekrarlamak ve masaüstü bilgisayara kablo ile internet vermek için kullandım. Router ile arasındaki mesafe yaklaşık 8-9 metre.İşini fazlasıyla yapıyor.Evin her tarafında artık full sinyal alabiliyorum.Denildiği gibi hızda düşme yok üstelik.Tether uygulaması ile akıllı telefon üzerinden kontrol ve ayar yapılabiliyor.Tarayıcı üzerinden yaptım ayarlarını.Oldukça basit.Bu fiyata bu ürün alınır.,1
6777,Ürün güzel ve oldukça stabil çalışıyor. Bana göre tek eksiği ekran olmaması. İşimizi gördü. Başarılı bir ürün.,1
6778,cok iyi tavsıye derim zamanında kargoladı,1
6779,Ürün fiyatına göre mükemmel. Bence tarayıcı ve fotokopi ihtiyacı olmayanlar için en uygun yazıcı.,1
6780,ürünü geçen sene aLdım ve cidden iyi bir kulakklık insan telefondan konuşmayı istemiyor bazen telefonun nerde olduğunu unutuyorum. çekim kuvveti yeterLi 130 m2 bi evde heryerden çekiyor. konuşma süresi çok iyi. Eksilerine gelecek olursak sesi çok açtığınızda ses boğulmaya başlıyor o yüzden biraz kısık kullanamak lazım buda sorunu çözüyor. diğer arkadaşlar kırmızı tuş sorunundan bahsetmiş bence o kadarda hassas değil gönüL rahatLığıyLa aLabiLirsiniz.,1
6781,Arkadaşlar urun elime geçti sipariş verdim 1.5 gun ıcınde elımde oldu mukemmel bır urun dıycek tek kelıme herkese tavsiye ederım hepsiburadaya teşekkur edıyorum .,1
